doc_id,translator
alkiviad i,С.Я.Шейнман-Топштейн
alkiviad ii,С.Я.Шейнман-Топштейн
apologiya sokrata,М.С.Соловьев
evtidem,С.Я.Шейнман-Топштейн
evtifron,С.Я.Шейнман-Топштейн
feag,С.Я.Шейнман-Топштейн
fedon,С.П.Маркиш
fedr,А.Н.Егунов
fileb,H.В.Самсонов
gippiy bolshiy,А.В.Болдырев
gippiy menshiy,С.Я.Шейнман-Топштейн
gorgiy,С.П.Маркиш
gosudarstvo i,А.Н.Егунов
gosudarstvo ii,А.Н.Егунов
gosudarstvo iii,А.Н.Егунов
gosudarstvo iv,А.Н.Егунов
gosudarstvo ix,А.Н.Егунов
gosudarstvo v,А.Н.Егунов
gosudarstvo vi,А.Н.Егунов
gosudarstvo vii,А.Н.Егунов
gosudarstvo viii,А.Н.Егунов
gosudarstvo x,А.Н.Егунов
harmid,С.Я.Шейнман-Топштейн
ion,Я.М.Боровский
kratil,Т.В.Васильева
kritiy,С.С.Аверинцев
kriton,М.С.Соловьев
lahet,С.Я.Шейнман-Топштейн
lisid,С.Я.Шейнман-Топштейн
meneksen,С.Я.Шейнман-Топштейн
menon,С.А.Ошеров
parmenid,H.И.Томасов
pir,С.К.Апт
politik,С.Я.Шейнман-Топштейн
poslezakonie,А.Н.Егунов
protagor,В.С.Соловьев
sofist,С.А.Ананьин
teetet,Т.В.Васильева
timey,С.С.Аверинцев
zakony i,А.Н.Егунов
zakony ii,А.Н.Егунов
zakony iii,А.Н.Егунов
zakony iv,А.Н.Егунов
zakony ix,А.Н.Егунов
zakony v,А.Н.Егунов
zakony vi,А.Н.Егунов
zakony vii,А.Н.Егунов
zakony viii,А.Н.Егунов
zakony x,А.Н.Егунов
zakony xi,А.Н.Егунов
zakony xii,А.Н.Егунов
